Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Jaccard Score Neoplastic,Jaccard Score Limfo,Jaccard Score Connective,Jaccard Score Dead,Jaccard Score Epithelia,Jaccard Score Void
1,1.460579938,0.752150285,1.305758249,0.839596915,0.392,0.025,0.057,0,0.001,0.876
2,1.25766232,0.858742736,1.217473342,0.867551287,0.461,0.004,0.286,0,0.088,0.806
3,1.194991075,0.878558911,1.175395691,0.885540279,0.49,0.005,0.369,0.067,0.342,0.496
4,1.167286552,0.889082821,1.15771544,0.8935667,0.51,0.004,0.388,0.067,0.366,0.478
5,1.158186046,0.891294371,1.155134991,0.892118667,0.492,0.003,0.384,0.056,0.39,0.472
6,1.149297839,0.896782464,1.14905149,0.895652645,0.532,0.004,0.374,0.067,0.344,0.499
7,1.147745622,0.896444141,1.145981128,0.897353661,0.529,0.006,0.402,0.067,0.366,0.477
8,1.142043114,0.900796724,1.145448881,0.897208599,0.524,0.007,0.416,0.066,0.379,0.468
9,1.1408988,0.900960821,1.144365137,0.897824534,0.517,0.019,0.387,0.067,0.38,0.47
10,1.136082563,0.907904178,1.137436097,0.907653969,0.572,0.301,0.404,0.068,0.356,0.493
11,1.129495315,0.914935402,1.137025869,0.90667662,0.569,0.355,0.415,0.068,0.358,0.493
12,1.127328325,0.91613579,1.138733294,0.904099189,0.557,0.329,0.403,0.045,0.376,0.49
13,1.123682756,0.919044944,1.142589543,0.899757466,0.541,0.327,0.385,0.034,0.344,0.528
14,1.122526436,0.919865151,1.140195531,0.902002024,0.547,0.353,0.397,0.056,0.378,0.478
15,1.120997386,0.920873203,1.133635267,0.908012333,0.578,0.374,0.397,0.045,0.367,0.502
16,1.118260312,0.923351629,1.1321777,0.909453248,0.586,0.362,0.399,0.033,0.358,0.528
17,1.112593766,0.9283959,1.138512505,0.902466395,0.555,0.375,0.389,0.045,0.366,0.499
18,1.113566525,0.927023144,1.128565428,0.911807928,0.595,0.396,0.403,0.022,0.38,0.517
19,1.10948661,0.930106301,1.128174153,0.910927945,0.591,0.384,0.41,0.012,0.348,0.562
20,1.105458167,0.937410417,1.133022011,0.911933893,0.545,0.381,0.392,0.126,0.612,0.564
21,1.10640864,0.938674461,1.124120975,0.919891156,0.574,0.385,0.407,0.135,0.611,0.569
22,1.09641042,0.948147263,1.121228783,0.922650883,0.591,0.382,0.414,0.157,0.626,0.57
23,1.093069557,0.95124887,1.123678001,0.920077692,0.581,0.389,0.41,0.14,0.607,0.568
24,1.092905266,0.951207655,1.128421422,0.915055763,0.558,0.387,0.377,0.137,0.601,0.567
25,1.09522831,0.948728901,1.123099336,0.920432114,0.587,0.378,0.411,0.154,0.617,0.569
