Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Jaccard Score Neoplastic,Jaccard Score Limfo,Jaccard Score Connective,Jaccard Score Dead,Jaccard Score Epithelia,Jaccard Score Void
1,0.046045785338231705,0.6776997408944158,0.04315078209143087,0.8091609851423517,0.411,0.175,0.165,0.002,0.022,0.841
2,0.0421833828909368,0.8426264818335171,0.04153219372572669,0.8562939885150955,0.448,0.204,0.312,0.001,0.044,0.880
3,0.040759267921491364,0.8862006581090994,0.04029603562800281,0.8995755379458508,0.519,0.274,0.374,0.000,0.305,0.913
4,0.040015053526475663,0.9048553466796875,0.03974712693906692,0.9104958040168486,0.567,0.331,0.392,0.000,0.349,0.919
5,0.03955828609717328,0.9158386812310086,0.03945805922330144,0.9159537970301617,0.566,0.368,0.400,0.014,0.386,0.904
6,0.039319432931157146,0.9211572754371723,0.039427707173738134,0.9148287773132324,0.569,0.375,0.420,0.028,0.424,0.867
7,0.039217856485487486,0.9233110135117523,0.03924185078007629,0.9207149700946119,0.588,0.401,0.408,0.112,0.575,0.669
8,0.03900690394930723,0.9299206263684908,0.03916292669004705,0.922633320452219,0.602,0.362,0.426,0.161,0.646,0.570
9,0.038923090550957655,0.9323476669558806,0.039272151842533826,0.9187184873833714,0.580,0.403,0.418,0.155,0.656,0.567
10,0.03884374511587184,0.9349080248488143,0.03930216336465744,0.9167312828891249,0.574,0.370,0.414,0.148,0.638,0.566
11,0.03879282646244619,0.9365668021348457,0.03931494833654668,0.9155254306563412,0.560,0.361,0.395,0.135,0.619,0.567
12,0.03870214242488146,0.9396862717329376,0.03939314603985074,0.9130183989743152,0.562,0.394,0.399,0.150,0.637,0.563
13,0.03866542019404289,0.9408011408279463,0.039413805243121575,0.9121880416410515,0.536,0.397,0.376,0.139,0.639,0.562
14,0.038636305278576005,0.9418666552315449,0.03918089753532984,0.9207055425069418,0.572,0.402,0.419,0.168,0.629,0.568
15,0.03862046638912544,0.9423723219006941,0.03909809106444738,0.9239605018891484,0.601,0.382,0.417,0.161,0.655,0.569
16,0.03843579677546897,0.9490706975625968,0.03915997433016099,0.9213821227291981,0.570,0.412,0.401,0.156,0.653,0.567
17,0.0383186717404098,0.9533106684798395,0.0390507554612964,0.9255782954664116,0.608,0.379,0.420,0.167,0.664,0.571
18,0.0382516549264149,0.9558184017330493,0.039137096649192904,0.9222725787794733,0.597,0.396,0.413,0.158,0.659,0.570
19,0.038216641740646304,0.9571175108874151,0.039103577474513686,0.923696719020246,0.602,0.382,0.421,0.170,0.617,0.571
20,0.03819966170845962,0.9576561621419581,0.03908410924206297,0.9243634120527521,0.605,0.391,0.421,0.165,0.669,0.559
21,0.038124014759754264,0.9604310071161523,0.03909382874886674,0.9241375521004919,0.598,0.399,0.426,0.164,0.649,0.571
22,0.03810775550309478,0.9609903893775322,0.03908692408038909,0.9243076910455543,0.597,0.385,0.416,0.156,0.633,0.571
23,0.03810649960324532,0.960959633244459,0.039137966841100214,0.9224938714360617,0.589,0.391,0.398,0.156,0.665,0.571
24,0.038099674553405946,0.9611966841327678,0.03921472097197211,0.9191575854657644,0.567,0.362,0.408,0.150,0.642,0.568
25,0.038071404074932015,0.9621416119192758,0.03911590836493366,0.9232999100742569,0.605,0.394,0.416,0.162,0.656,0.570
