Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Jaccard Score Neoplastic,Jaccard Score Limfo,Jaccard Score Connective,Jaccard Score Dead,Jaccard Score Epithelia,Jaccard Score Void
1,0.04333178313261658,0.8211673099607196,0.04112292354619956,0.8653335541049687,0.414,0.025,0.094,0.000,0.001,0.896
2,0.04056370791775235,0.8782549142039545,0.040257653763777095,0.8829024319038286,0.490,0.026,0.319,0.011,0.001,0.883
3,0.040101593878318575,0.8883018479466039,0.040007302325360386,0.8881719878775423,0.511,0.026,0.348,0.011,0.001,0.887
4,0.03979870994415509,0.8945130234360473,0.039860168354043476,0.8905235831812172,0.545,0.015,0.356,0.011,0.013,0.885
5,0.03965164538054071,0.8982437462911326,0.03972722170285032,0.8934081293409228,0.556,0.033,0.391,0.012,0.012,0.876
6,0.03958528801886993,0.899285716166413,0.03977891510423226,0.8902059548249851,0.530,0.037,0.355,0.000,0.012,0.885
7,0.03953349167073267,0.9000326988642967,0.03971468709126304,0.8915434545153339,0.542,0.025,0.398,0.000,0.092,0.804
8,0.03937167824196392,0.9051359665353931,0.03954282256809971,0.8978422257903073,0.576,0.026,0.410,0.000,0.163,0.740
9,0.03923259600556108,0.9098522573565408,0.039604075630254386,0.897847759596091,0.561,0.112,0.409,0.001,0.238,0.675
10,0.039144362041936116,0.9246309251313584,0.03944276405286185,0.9121451965646521,0.539,0.343,0.396,0.119,0.535,0.650
11,0.03916244790751553,0.9252293573608625,0.03944512899917892,0.911995989436249,0.548,0.367,0.385,0.137,0.568,0.647
12,0.03890342183807898,0.9327465892946378,0.03922757765726198,0.9189418107802746,0.576,0.380,0.403,0.135,0.586,0.655
13,0.03877896579676831,0.9368254866197501,0.039212778635040114,0.919582311000514,0.579,0.388,0.381,0.144,0.605,0.655
14,0.038726301985026815,0.9384452930477394,0.039312996064560325,0.9156987828675405,0.576,0.399,0.422,0.147,0.617,0.652
15,0.03875713996016062,0.938791986467582,0.039213531143680404,0.9194988321794955,0.585,0.379,0.394,0.143,0.562,0.653
16,0.03868378886192508,0.9399281136827338,0.03918273237687123,0.9205698866812048,0.585,0.329,0.405,0.161,0.590,0.655
17,0.0386535466246351,0.9434877837533266,0.039074970197074024,0.9245618895032885,0.592,0.405,0.417,0.154,0.587,0.658
18,0.03849542224724617,0.9467521999439993,0.0391072835065896,0.9233240043649209,0.588,0.412,0.403,0.163,0.608,0.658
19,0.038573029831316344,0.9438925700898771,0.03909281627098216,0.9236390623742042,0.600,0.404,0.415,0.170,0.602,0.658
20,0.03843799863870327,0.9486578972909743,0.03910146092500868,0.9234373778329215,0.592,0.409,0.432,0.154,0.631,0.657
21,0.03836094909871118,0.9515238428878359,0.03913330428207977,0.9223786186614398,0.591,0.392,0.423,0.157,0.608,0.656
22,0.03834712648620972,0.9520073575395419,0.03902900534905965,0.9262255450538638,0.603,0.408,0.422,0.154,0.620,0.659
23,0.03828838317704624,0.9539649342018771,0.03906602624662315,0.9248080077834702,0.600,0.407,0.430,0.157,0.634,0.658
24,0.03825457120788168,0.955436340536314,0.039198092644727685,0.9201473337385894,0.581,0.383,0.427,0.163,0.605,0.655
25,0.03827780829026149,0.9547220005249614,0.0390790446743935,0.9244329185652156,0.599,0.405,0.411,0.179,0.608,0.658
