Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Jaccard Score Neoplastic,Jaccard Score Limfo,Jaccard Score Connective,Jaccard Score Dead,Jaccard Score Epithelia,Jaccard Score Void
1,1.5655743923129104,0.5612377737679859,1.3585837591125305,0.8632134414580931,0.438,0.174,0.000,0.000,0.109,0.778
2,1.2784410409811067,0.864190240356329,1.2208222955106252,0.8738657020660768,0.473,0.258,0.006,0.000,0.001,0.901
3,1.1933840040753527,0.8852378328830657,1.171727917280542,0.8985376645283527,0.537,0.309,0.224,0.000,0.069,0.850
4,1.1637882473992138,0.8976957628451948,1.1519279580518424,0.9053222587309688,0.559,0.303,0.354,0.018,0.362,0.598
5,1.1468676125131003,0.9098861185224768,1.1423481042126575,0.9114223101052893,0.562,0.321,0.358,0.101,0.549,0.563
6,1.1343513945253885,0.9187146735032248,1.1412397465073918,0.9094583672213267,0.538,0.354,0.345,0.124,0.554,0.562
7,1.131436635081361,0.9189255066208889,1.1296354345528477,0.9187962807804705,0.571,0.379,0.384,0.136,0.622,0.567
8,1.1238795758747473,0.9244871155890655,1.1313790628708988,0.9157155105866581,0.572,0.386,0.371,0.123,0.598,0.564
9,1.1224134767927774,0.9247989941825175,1.1249581690294197,0.9213943538895573,0.593,0.373,0.391,0.147,0.621,0.568
10,1.1216434821849917,0.924807235965056,1.126596413462995,0.9190019699464361,0.565,0.382,0.394,0.136,0.633,0.567
11,1.1116068210543655,0.9342405161025754,1.122216961469995,0.9229809289955231,0.596,0.404,0.411,0.160,0.644,0.569
12,1.1082126374651746,0.9372234100836362,1.1215172704443874,0.9233767957572477,0.598,0.373,0.395,0.154,0.635,0.570
13,1.1057512760162354,0.9393267665168464,1.1208654914993839,0.9236261528658579,0.604,0.402,0.413,0.156,0.647,0.569
14,1.1046684660562656,0.940177412733109,1.1193193585039622,0.92503003039992,0.609,0.407,0.406,0.158,0.647,0.570
15,1.1010441016860124,0.943589923811368,1.119473747460239,0.9247104231133518,0.613,0.378,0.422,0.159,0.654,0.570
16,1.0986925894167365,0.9457588683092901,1.1193076673760471,0.9246970084776361,0.608,0.404,0.412,0.167,0.651,0.570
17,1.1019601778286259,0.9423107281767606,1.1193560979452477,0.9245163618800152,0.607,0.398,0.416,0.153,0.654,0.570
18,1.0990245400405512,0.9451607674161404,1.123846058385918,0.9199994788112411,0.581,0.406,0.402,0.160,0.653,0.567
19,1.0985253627707319,0.945558985445588,1.1215364760663136,0.9222167601068336,0.594,0.406,0.404,0.149,0.646,0.569
20,1.0960426643127348,0.9479309111123316,1.1177856318921928,0.9258669255727745,0.609,0.406,0.427,0.165,0.651,0.571
21,1.0922817922219998,0.9516596965953438,1.1181561831968376,0.9253755075385771,0.607,0.410,0.411,0.168,0.652,0.570
22,1.090186842331072,0.953730420457169,1.1176375437931843,0.9259164074817335,0.613,0.404,0.417,0.165,0.655,0.571
23,1.0885970614305356,0.9552502103938274,1.1186079016651016,0.9248923221266413,0.608,0.413,0.415,0.168,0.639,0.571
24,1.0876236674262256,0.956174910466255,1.1188782769513417,0.924548654671175,0.607,0.409,0.402,0.156,0.661,0.571
25,1.0867584071508267,0.9569951001977329,1.1210668661508216,0.922302177153438,0.585,0.412,0.413,0.150,0.653,0.569
