Epoch,Training Loss,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation AUCROC
1,0.2288,0.3604,0.84,0.926,0.761,0.835,0.937
2,0.1641,0.26067,0.9,0.939,0.856,0.896,0.965
3,0.1406,0.2628,0.896,0.932,0.853,0.891,0.964
4,0.1267,0.4046,0.862,0.951,0.762,0.846,0.948
5,0.1175,0.536,0.836,0.969,0.693,0.808,0.921
