Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation AUCROC
1,0.19822543312534435,0.9241714477539062,0.4269531201407517,0.85430908203125,0.9501513838768005,0.7475716471672058,0.8367751836776733,0.9464848041534424
2,0.1305811049588783,0.9383583068847656,0.27373055745192687,0.8983154296875,0.9605086445808411,0.8305944204330444,0.8908399939537048,0.9679649472236633
3,0.10864756770570239,0.9458885192871094,0.38148098168130673,0.863739013671875,0.9595429301261902,0.7592400312423706,0.8477200865745544,0.9548242092132568
4,0.09474261421792107,0.9510841369628906,0.4714522461117667,0.85699462890625,0.9661639332771301,0.7396298050880432,0.8378546833992004,0.9413293600082397
5,0.0840672312266122,0.9550094604492188,0.29343096007414715,0.900146484375,0.9667831063270569,0.8285784125328064,0.8923613429069519,0.9697917699813843
