Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1 Score,Validation AUCROC
1,0.23683257910329303,0.9056,0.26257803381304257,0.890960693359375,0.9050392508506775,0.8733581900596619,0.888916552066803,0.9584749937057495
2,0.16943953937743572,0.9211,0.2689439844198205,0.8951416015625,0.9343138933181763,0.849838137626648,0.8900761604309082,0.962875247001648
3,0.14485285491423383,0.9297,0.5403607298221687,0.835540771484375,0.9760665893554688,0.6876412630081177,0.8068528175354004,0.9056292772293091
4,0.1311008798193143,0.9354,0.31001159877268947,0.88653564453125,0.9537987112998962,0.812205970287323,0.8773261308670044,0.9539086222648621
5,0.12034496739426004,0.9396,0.3717966338454062,0.867431640625,0.9580952525138855,0.7682204246520996,0.852715790271759,0.9466348886489868
